"","x"
"1",387.400515750051
"2",430.557520035654
"3",673.41638864018
"4",772.222137637436
"5",794.496945291758
"6",377.168832859024
"7",593.586821528152
"8",316.513888770714
"9",553.684148564935
"10",560.151600604877
"11",228.019316215068
"12",591.238642949611
"13",545.537345483899
"14",723.707349458709
"15",275.641917716712
"16",458.497725054622
"17",340.025429753587
"18",401.162242330611
"19",594.827429112047
"20",246.98727838695
"21",581.05857539922
"22",512.127715349197
"23",615.759345795959
"24",416.751887230203
"25",504.62745106779
"26",787.923028552905
"27",396.234971145168
"28",252.86373430863
"29",470.294924359769
"30",348.749694833532
"31",619.391656108201
"32",786.327758897096
"33",741.550536779687
"34",570.614166371524
"35",697.660882072523
"36",735.206376668066
"37",604.569820361212
"38",530.270031141117
"39",717.070631310344
"40",530.341588705778
"41",317.022674763575
"42",665.928972139955
"43",206.776797911152
"44",270.017492352054
"45",504.136653337628
"46",645.93062736094
"47",437.26539243944
"48",317.799751227722
"49",796.801684936509
"50",787.957161618397
"51",620.593032753095
"52",455.944941565394
"53",307.100267475471
"54",537.489960715175
"55",248.618222679943
"56",407.823227206245
"57",564.316146401688
"58",453.312680171803
"59",565.020320145413
"60",760.860506864265
"61",324.785641022027
"62",779.813376720995
"63",331.496026460081
"64",618.436072068289
"65",435.750310216099
"66",708.666956843808
"67",508.764773979783
"68",474.504177970812
"69",763.8996087946
"70",203.326109051704
"71",617.069690814242
"72",466.921321069822
"73",533.034751052037
"74",445.774571597576
"75",737.335507757962
"76",321.248199185356
"77",469.583557127044
"78",269.255750998855
"79",416.442565945908
"80",340.589444246143
"81",585.919586801901
"82",439.468081016093
"83",538.727125013247
"84",792.248304048553
"85",314.084484940395
"86",268.399571441114
"87",615.85685624741
"88",386.084170127288
"89",445.969164883718
"90",226.202825363725
"91",270.148030715063
"92",612.444386212155
"93",792.814788967371
"94",797.774399770424
"95",441.091095330194
"96",213.062430825084
"97",643.812949443236
"98",758.752781478688
"99",715.496276738122
"100",457.96158220619
