"","x"
"1",330.948540940881
"2",218.492192355916
"3",627.429009694606
"4",469.952993281186
"5",690.086398553103
"6",357.993002841249
"7",730.209668539464
"8",389.126874180511
"9",312.715976638719
"10",458.529238495976
"11",511.915560439229
"12",409.668022068217
"13",284.418478189036
"14",318.696739478037
"15",304.606554051861
"16",334.744192054495
"17",216.477486118674
"18",500.162036437541
"19",310.922231897712
"20",511.962042422965
"21",672.709362674505
"22",605.476076342165
"23",206.853274255991
"24",417.450577532873
"25",240.78386342153
"26",507.552628545091
"27",318.599900556728
"28",238.335303170606
"29",527.112536784261
"30",495.62653163448
"31",595.030334731564
"32",765.316489618272
"33",489.520972594619
"34",590.02352738753
"35",200.867756223306
"36",522.861929237843
"37",588.518375204876
"38",230.61254741624
"39",320.069789374247
"40",498.990525072441
"41",369.257218018174
"42",716.666864277795
"43",373.875809274614
"44",552.500876830891
"45",754.452067892998
"46",517.927638767287
"47",582.256486965343
"48",586.301016481593
"49",321.726705273613
"50",605.796800088137
"51",644.926008908078
"52",290.263290051371
"53",353.899148199707
"54",287.411240488291
"55",374.030262604356
"56",561.584609467536
"57",660.926282964647
"58",335.58399239555
"59",380.690671363845
"60",649.57786067389
"61",564.133241400123
"62",253.720193682238
"63",634.998368518427
"64",735.406520729885
"65",295.495486911386
"66",347.18665946275
"67",721.814209176227
"68",612.34405762516
"69",361.612450005487
"70",735.902696708217
"71",328.088553575799
"72",578.042534319684
"73",292.215834977105
"74",368.107530055568
"75",659.763296693563
"76",796.723266644403
"77",666.520755039528
"78",748.499070806429
"79",649.318283749744
"80",762.524476833642
"81",625.044478382915
"82",288.821655092761
"83",201.741964835674
"84",691.063502291217
"85",323.610078264028
"86",284.134900383651
"87",288.951700879261
"88",636.567043233663
"89",506.661498825997
"90",503.776053106412
"91",404.531857511029
"92",596.36495388113
"93",529.94377547875
"94",742.876170389354
"95",517.613056022674
"96",631.68736868538
"97",550.62983292155
"98",238.615922862664
"99",790.18598748371
"100",706.860456941649
